Task_ID,Category,Request,Expected_Command,Expected_Danger,Source,Parsed_Action,Parsed_Target,Requires_Confirmation,Parse_Error
95,Process Control,Trae trabajo 1 al primer plano,fg %1,safe,llm,answer,,0,
96,Process Control,Envía trabajo actual al fondo,bg,safe,llm,answer,,0,
97,Process Control,Reinicia el servicio nginx,systemctl restart nginx,warning,llm,system_info,,0,
98,Process Control,Detén el servicio mysql,systemctl stop mysql,warning,llm,system_info,,0,
99,Process Control,Inicia el servicio postgresql,systemctl start postgresql,safe,llm,system_info,,0,
100,Process Control,Habilita apache2 al inicio,systemctl enable apache2,safe,llm,system_info,,0,
101,Process Control,Deshabilita servicio bluetooth,systemctl disable bluetooth,safe,llm,system_info,,0,
102,Process Control,Recarga configuración de systemd,systemctl daemon-reload,safe,llm,system_info,,0,
103,Process Control,Muestra árbol de procesos,pstree,safe,llm,system_info,,0,
104,Process Control,Monitor de procesos con filtro,top -u usuario,safe,llm,system_info,,0,
105,Process Control,Cambia prioridad del proceso 200,renice -n 10 -p 200,safe,llm,system_info,,0,
106,Process Control,Ejecuta comando con prioridad baja,nice -n 19 comando,safe,llm,clarify,,0,
107,Process Control,Ejecuta comando con prioridad alta,nice -n -10 comando,safe,llm,clarify,,0,
108,Process Control,Mata todos los procesos de un usuario,pkill -u usuario,danger,llm,system_info,,0,
109,Process Control,Termina sesión del usuario remoto,pkill -KILL -u usuario,danger,llm,system_info,,0,
110,Process Control,Reinicia todo el sistema,reboot,danger,llm,system_info,,0,
111,Process Control,Apaga el sistema,shutdown -h now,danger,llm,system_info,,1,
112,Process Control,Programa apagado en 10 minutos,shutdown -h +10,warning,llm,system_info,,1,
113,Process Control,Cancela apagado programado,shutdown -c,safe,llm,system_info,,0,
114,Process Control,Reinicia servicios de red,systemctl restart networking,warning,llm,system_info,,0,
115,Process Control,Muestra uso de CPU por proceso,pidstat,safe,llm,system_info,,0,
116,Process Control,Monitorea proceso específico,watch -n 1 'ps aux | grep nginx',safe,llm,system_info,,0,
117,Process Control,Lista procesos zombie,ps aux | grep 'Z',safe,llm,system_info,,0,
118,Process Control,Muestra hilos de un proceso,ps -T -p 1234,safe,llm,system_info,,0,
119,Process Control,Límite de archivos abiertos por proceso,ulimit -n,safe,llm,system_info,,0,
120,Process Control,Ejecuta comando con timeout de 10s,timeout 10s comando,safe,llm,clarify,,0,
121,Networking,Muestra configuración de red,ifconfig,safe,llm,system_info,,0,
122,Networking,Muestra interfaces de red alternativo,ip addr show,safe,llm,system_info,,0,
123,Networking,Prueba conectividad con google.com,ping -c 4 google.com,safe,llm,system_info,,0,
124,Networking,Haz ping continuo a 8.8.8.8,ping 8.8.8.8,safe,llm,system_info,,0,
125,Networking,Muestra la tabla de ruteo,route -n,safe,llm,system_info,,0,
126,Networking,Muestra rutas alternativo,ip route show,safe,llm,list,/,0,
127,Networking,Muestra conexiones de red activas,netstat -tuln,safe,llm,system_info,,0,
128,Networking,Lista puertos en escucha,ss -tuln,safe,llm,system_info,,0,
129,Networking,Muestra conexiones establecidas,netstat -ant | grep ESTABLISHED,safe,llm,system_info,,0,
130,Networking,¿Qué proceso usa el puerto 80?,lsof -i :80,safe,llm,system_info,,0,
131,Networking,Busca qué proceso escucha en puerto 3306,netstat -tlnp | grep 3306,safe,llm,system_info,,0,
132,Networking,Descarga archivo de URL,wget https://ejemplo.com/archivo.zip,safe,llm,clarify,,0,
133,Networking,Descarga con curl,curl -O https://ejemplo.com/datos.json,safe,llm,clarify,,0,
134,Networking,Prueba velocidad de red con iperf,iperf3 -c servidor,safe,llm,system_info,,0,
135,Networking,Resuelve nombre DNS,nslookup google.com,safe,llm,system_info,,0,
136,Networking,Consulta DNS con dig,dig google.com,safe,llm,system_info,,0,
137,Networking,Muestra caché ARP,arp -a,safe,llm,system_info,,0,
138,Networking,Traza ruta a servidor,traceroute google.com,safe,llm,system_info,,0,
139,Networking,Traza ruta alternativo,mtr google.com,safe,llm,clarify,,0,
140,Networking,Escanea puertos abiertos en localhost,nmap localhost,safe,local,system_info,,0,
141,Networking,Muestra estadísticas de interfaces,netstat -i,safe,llm,system_info,,0,
142,Networking,Monitorea tráfico de red,iftop,safe,llm,system_info,,0,
143,Networking,Captura paquetes de red,tcpdump -i eth0,safe,llm,system_info,,0,
144,Networking,Conéctate por SSH a servidor,ssh usuario@servidor,safe,llm,answer,,0,
145,Networking,Copia archivo por SCP,scp archivo.txt usuario@servidor:/tmp,safe,llm,clarify,,0,
146,Networking,Transfiere archivos con rsync por SSH,rsync -avz -e ssh local/ usuario@servidor:remote/,safe,llm,clarify,,0,
147,Networking,Muestra configuración DNS,cat /etc/resolv.conf,safe,llm,system_info,,0,
148,Networking,Muestra archivo de hosts,cat /etc/hosts,safe,llm,edit,/etc/hosts,0,
149,Networking,Prueba puerto abierto con telnet,telnet servidor 80,safe,local,system_info,,0,
150,Networking,Prueba puerto con netcat,nc -zv servidor 22,safe,llm,system_info,,0,
151,Networking,Reinicia interfaz de red,ifdown eth0 && ifup eth0,warning,llm,system_info,,0,
152,Networking,Asigna IP estática temporal,ifconfig eth0 192.168.1.100,warning,llm,system_info,,0,
153,Networking,Agrega ruta estática,route add -net 10.0.0.0/8 gw 192.168.1.1,warning,llm,clarify,,0,
154,Networking,Elimina ruta,route del -net 10.0.0.0/8,warning,llm,clarify,,0,
155,Networking,Reinicia firewall,systemctl restart firewalld,warning,llm,system_info,,0,
156,Permissions,Muestra permisos de archivo,ls -l archivo.txt,safe,llm,clarify,,0,
157,Permissions,Muestra permisos en formato octal,stat -c '%a' archivo.txt,safe,llm,clarify,,0,
158,Permissions,Da permisos de ejecución a script,chmod +x script.sh,safe,llm,clarify,,0,
159,Permissions,Quita permisos de escritura,chmod -w archivo.txt,safe,llm,clarify,,0,
160,Permissions,Establece permisos 644 a archivo,chmod 644 archivo.txt,safe,llm,clarify,,0,
161,Permissions,Establece permisos 755 a directorio,chmod 755 directorio/,safe,llm,clarify,,0,
162,Permissions,Cambia permisos recursivamente,chmod -R 755 carpeta/,safe,llm,clarify,,0,
163,Permissions,Cambia dueño de archivo a usuario,chown usuario archivo.txt,safe,llm,clarify,,0,
164,Permissions,Cambia grupo de archivo,chgrp grupo archivo.txt,safe,llm,clarify,,0,
165,Permissions,Cambia dueño y grupo,chown usuario:grupo archivo.txt,safe,llm,clarify,,0,
166,Permissions,Cambia dueño recursivamente,chown -R usuario:grupo directorio/,safe,llm,clarify,,0,
167,Permissions,Muestra el dueño de un archivo,stat -c '%U' archivo.txt,safe,llm,info,,0,
168,Permissions,Encuentra archivos con permiso SUID,find / -perm -4000 2>/dev/null,safe,llm,search,/,0,
169,Permissions,Encuentra archivos con permiso SGID,find / -perm -2000 2>/dev/null,safe,llm,search,~/,0,
170,Permissions,Encuentra archivos modificables por todos,find / -perm -002 2>/dev/null,safe,llm,search,~/,0,
171,Permissions,Establece bit sticky en directorio,chmod +t directorio/,safe,llm,clarify,,0,
172,Permissions,Establece SUID en ejecutable,chmod u+s ejecutable,warning,llm,clarify,,0,
173,Permissions,Da permisos 777 a archivo,chmod 777 archivo,warning,llm,clarify,,0,
174,Permissions,Quita todos los permisos,chmod 000 archivo,danger,llm,clarify,,0,
175,Permissions,Ejecuta comando como root,sudo comando,warning,llm,answer,,0,
176,Permissions,Abre shell como root,sudo -i,warning,llm,open_app,,0,
177,Permissions,Ejecuta comando como otro usuario,sudo -u usuario comando,safe,llm,clarify,,0,
178,Permissions,Edita archivo de configuración protegido,sudo nano /etc/hosts,warning,llm,clarify,,0,
179,Permissions,Lista permisos de sudoers,sudo cat /etc/sudoers,safe,llm,system_info,,0,
180,Permissions,Agrega usuario al grupo sudo,sudo usermod -aG sudo usuario,warning,llm,system_info,,0,
181,Permissions,Cambia contraseña de usuario,passwd usuario,safe,llm,system_info,,1,
182,Permissions,Cambia contraseña como root,sudo passwd usuario,warning,llm,system_info,,0,
183,Permissions,Crea nuevo usuario,sudo useradd -m nuevouser,warning,llm,clarify,,0,
184,Permissions,Elimina usuario,sudo userdel usuario,warning,llm,delete,,1,
185,Permissions,Elimina usuario y su home,sudo userdel -r usuario,danger,llm,delete,/home/usuario,1,
186,File Management,Encuentra archivos Java en /home,"find /home -name ""*.java"" 2>/dev/null",safe,llm,search,/home,0,
187,File Management,Busca archivos modificados hoy,find . -mtime 0,safe,llm,search,~/,0,
188,File Management,Crea archivo vacío,touch nuevo.txt,safe,llm,clarify,,0,
189,File Management,Concatena varios archivos,cat file1 file2 > combined.txt,safe,llm,clarify,,0,
190,File Management,Busca texto en archivos recursivamente,"grep -r ""TODO"" /proyecto",safe,llm,clarify,,0,
191,System Information,Muestra kernel version,uname -r,safe,llm,system_info,,0,
192,System Information,Información de temperatura del CPU,sensors,safe,llm,system_info,,0,
193,System Information,Muestra velocidad de red en tiempo real,iftop -i eth0,safe,llm,system_info,,0,
194,System Information,Uso de swap,swapon --show,safe,llm,system_info,,0,
195,System Information,Lista módulos del kernel cargados,lsmod,safe,llm,system_info,,0,
196,Process Control,Lista servicios fallidos,systemctl --failed,safe,llm,system_info,,0,
197,Process Control,Muestra logs de un servicio,journalctl -u apache2 -n 50,safe,llm,system_info,,0,
198,Networking,Muestra firewall rules,sudo iptables -L,safe,llm,system_info,,0,
199,Networking,Test de ancho de banda,speedtest-cli,safe,llm,system_info,,0,
200,Permissions,Lista ACLs de archivo,getfacl archivo.txt,safe,llm,list,~/Escritorio/302-A/ACLs,0,
201,Web Search,Busca en Google cómo instalar Python en Linux,"web_search(google, Python Linux)",safe,llm,web_search,,0,
202,Web Search,Busca en YouTube un tutorial de Bash para principiantes,"web_search(youtube, Bash tutorial)",safe,llm,web_search,,0,
203,Web Search,Busca en GitHub proyectos de reconocimiento de voz,"web_search(github, speech recognition)",safe,llm,web_search,,0,
204,Web Search,Busca en StackOverflow cómo leer un archivo CSV en Python,"web_search(stackoverflow, CSV Python)",safe,llm,web_search,,0,
205,Web Search,Busca en Wikipedia qué es un sistema operativo,"web_search(wikipedia, sistema operativo)",safe,llm,web_search,,0,
206,Web Search,Busca en Google cómo configurar SSH en Debian,"web_search(google, SSH Debian)",safe,llm,web_search,,0,
207,Web Search,Busca en YouTube tutorial de Docker desde cero,"web_search(youtube, Docker tutorial)",safe,llm,web_search,,0,
208,Web Search,Busca en GitHub ejemplos de scripts AWK,"web_search(github, awk scripts)",safe,llm,web_search,,0,
209,Web Search,Busca en StackOverflow cómo solucionar un error de segmentación en C,"web_search(stackoverflow, segfault C)",safe,llm,web_search,,0,
210,Web Search,Busca en Wikipedia información sobre el protocolo TCP/IP,"web_search(wikipedia, TCP/IP)",safe,llm,web_search,,0,
211,Web Search,Busca en Google solución a paquetes rotos en apt,"web_search(google, apt broken packages)",safe,llm,web_search,,0,
212,Web Search,Busca en YouTube tutorial de Git para control de versiones,"web_search(youtube, Git tutorial)",safe,llm,web_search,,0,
213,Web Search,Busca en GitHub repositorios de inteligencia artificial,"web_search(github, artificial intelligence)",safe,llm,web_search,,0,
214,Web Search,Busca en StackOverflow cómo hacer solicitudes HTTP en Perl,"web_search(stackoverflow, HTTP Perl)",safe,llm,web_search,,0,
215,Web Search,Busca en Wikipedia qué es el aprendizaje automático,"web_search(wikipedia, machine learning)",safe,llm,web_search,,0,
216,Web Search,Busca en Google cómo instalar NGINX en Ubuntu,"web_search(google, NGINX Ubuntu)",safe,llm,web_search,,0,
217,Web Search,Busca en YouTube tutorial de expresiones regulares en Linux,"web_search(youtube, regex Linux)",safe,llm,web_search,,0,
218,Web Search,Busca en GitHub proyectos de asistentes de voz de código abierto,"web_search(github, voice assistant)",safe,llm,web_search,,0,
219,Web Search,Busca en StackOverflow la diferencia entre fork y exec en Linux,"web_search(stackoverflow, fork exec Linux)",safe,llm,web_search,,0,
220,Web Search,Busca en Google las diferencias entre Docker y máquinas virtuales,"web_search(google, Docker vs VMs)",safe,llm,web_search,,0,
221,Project Creation,"Crea un proyecto frontend con secciones de login, dashboard e inventario",create_project(frontend),safe,llm,create_project,~/Proyectos/frontend,0,
222,Project Creation,Genera la estructura de un proyecto backend con API REST,create_project(backend),safe,llm,create_project,~/Proyectos/backend_api_rest,0,
223,Project Creation,Crea un proyecto fullstack con frontend y backend separados,create_project(fullstack),safe,llm,clarify,,0,
224,Project Creation,"Genera carpetas para un proyecto Python con src, tests y docs","mkdir -p proyecto/{src,tests,docs}",safe,llm,clarify,,0,
225,Project Creation,"Crea un proyecto web con carpetas para estilos, scripts e imágenes",create_project(frontend),safe,llm,create_project,~/Proyectos/proyecto_web,0,
226,Project Creation,"Genera estructura de proyecto de ciencia de datos con datos, notebooks y modelos","mkdir -p ds/{data,notebooks,models}",safe,llm,clarify,,0,
227,Project Creation,Crea un proyecto de microservicios con servicios independientes,create_project(backend),safe,llm,create_project,~/Proyectos/microservicios,0,
228,Project Creation,"Genera carpetas para proyecto universitario: src, docs, tests y config","mkdir -p proyecto/{src,docs,tests,config}",safe,llm,clarify,,0,
229,Project Creation,Crea un proyecto fullstack con autenticación y panel de administración,create_project(fullstack),safe,llm,create_project,~/Proyectos/fullstack_auth_admin,0,
230,Project Creation,Genera la estructura de una aplicación móvil multiplataforma,"mkdir -p app/{src,assets,tests}",safe,llm,create_project,~/Proyectos/app_movil_multiplataforma,0,
231,Project Creation,Crea un proyecto frontend para un sistema de ventas en línea,create_project(frontend),safe,llm,create_project,~/Proyectos/sistema_ventas_frontend,0,
232,Project Creation,Genera estructura de proyecto backend para una API de gestión de usuarios,create_project(backend),safe,llm,create_project,~/Proyectos/api_gestion_usuarios,0,
233,Project Creation,Crea la estructura de un proyecto de machine learning con notebooks,"mkdir -p ml/{data,models,notebooks,scripts}",safe,llm,create_project,~/Proyectos/machine_learning_project,0,
234,Project Creation,Genera carpetas para una tienda en línea con catálogo y pagos,create_project(frontend),safe,llm,clarify,,0,
235,Project Creation,"Crea la estructura de un servidor web con logs, config y htdocs","mkdir -p server/{logs,config,htdocs}",safe,llm,create_project,~/Escritorio/servidor_web,0,
236,Project Creation,"Genera proyecto modular con módulos para base de datos, API y UI","mkdir -p app/{db,api,ui}",safe,llm,create_project,~/Proyectos/proyecto_modular,0,
237,Project Creation,Crea un proyecto backend con soporte para consultas GraphQL,create_project(backend),safe,llm,create_project,~/Proyectos/backend_graphql,0,
238,Project Creation,"Genera estructura de automatización con scripts, tests y registros","mkdir -p auto/{scripts,tests,logs}",safe,llm,create_project,,0,
239,Project Creation,Crea la estructura de un proyecto fullstack con React y Express,create_project(fullstack),safe,llm,create_project,~/Proyectos/fullstack_react_express,0,
240,Project Creation,"Genera proyecto de documentación técnica con secciones de API, guías y ejemplos","mkdir -p docs/{api,guides,examples}",safe,llm,create_project,~/Documentos/proyecto_documentacion_tecnica,0,
241,App Opening,Abre Visual Studio Code,open_app(code),safe,local,open_app,,0,
242,App Opening,Inicia el navegador Firefox,open_app(firefox),safe,llm,open_app,,0,
243,App Opening,Abre la terminal,open_app(terminal),safe,local,open_app,,0,
244,App Opening,Lanza LibreOffice Writer,open_app(libreoffice_writer),safe,local,open_app,,0,
245,App Opening,Abre la hoja de cálculo (LibreOffice Calc),open_app(libreoffice_calc),safe,llm,open_app,,0,
246,App Opening,Abre el explorador de archivos,open_app(nautilus),safe,llm,open_app,,0,
247,App Opening,Inicia el editor de texto gedit,open_app(gedit),safe,llm,open_app,,0,
248,App Opening,Abre el reproductor VLC,open_app(vlc),safe,llm,open_app,,0,
249,App Opening,Lanza GIMP,open_app(gimp),safe,local,open_app,,0,
250,App Opening,Abre el navegador Chromium,open_app(chromium),safe,llm,open_app,,0,
