Task_ID,Category,Natural_Language_Request,Expected_Command,Danger_Level
82,System Information,Lista servicios activos,systemctl list-units --type=service,safe
83,System Information,Verifica estado del servicio apache,systemctl status apache2,safe
84,System Information,Muestra logs del sistema,journalctl -n 50,safe
85,System Information,Muestra carga promedio del sistema,cat /proc/loadavg,safe
86,Process Control,Mata el proceso con PID 1234,kill 1234,warning
87,Process Control,Fuerza la terminación del proceso 5678,kill -9 5678,warning
88,Process Control,Mata todos los procesos llamados firefox,killall firefox,warning
89,Process Control,Termina proceso llamado chrome,pkill chrome,warning
90,Process Control,Busca el PID del proceso apache2,pgrep apache2,safe
91,Process Control,Muestra información del proceso con PID 100,ps -p 100 -f,safe
92,Process Control,Lista procesos del usuario www-data,ps -u www-data,safe
93,Process Control,Ejecuta comando en segundo plano,comando &,safe
94,Process Control,Muestra trabajos en segundo plano,jobs,safe
95,Process Control,Trae trabajo 1 al primer plano,fg %1,safe
96,Process Control,Envía trabajo actual al fondo,bg,safe
97,Process Control,Reinicia el servicio nginx,systemctl restart nginx,warning
98,Process Control,Detén el servicio mysql,systemctl stop mysql,warning
99,Process Control,Inicia el servicio postgresql,systemctl start postgresql,safe
100,Process Control,Habilita apache2 al inicio,systemctl enable apache2,safe
101,Process Control,Deshabilita servicio bluetooth,systemctl disable bluetooth,safe
102,Process Control,Recarga configuración de systemd,systemctl daemon-reload,safe
103,Process Control,Muestra árbol de procesos,pstree,safe
104,Process Control,Monitor de procesos con filtro,top -u usuario,safe
105,Process Control,Cambia prioridad del proceso 200,renice -n 10 -p 200,safe
106,Process Control,Ejecuta comando con prioridad baja,nice -n 19 comando,safe
107,Process Control,Ejecuta comando con prioridad alta,nice -n -10 comando,safe
108,Process Control,Mata todos los procesos de un usuario,pkill -u usuario,danger
109,Process Control,Termina sesión del usuario remoto,pkill -KILL -u usuario,danger
110,Process Control,Reinicia todo el sistema,reboot,danger
111,Process Control,Apaga el sistema,shutdown -h now,danger
112,Process Control,Programa apagado en 10 minutos,shutdown -h +10,warning
113,Process Control,Cancela apagado programado,shutdown -c,safe
114,Process Control,Reinicia servicios de red,systemctl restart networking,warning
115,Process Control,Muestra uso de CPU por proceso,pidstat,safe
116,Process Control,Monitorea proceso específico,watch -n 1 'ps aux | grep nginx',safe
117,Process Control,Lista procesos zombie,ps aux | grep 'Z',safe
118,Process Control,Muestra hilos de un proceso,ps -T -p 1234,safe
119,Process Control,Límite de archivos abiertos por proceso,ulimit -n,safe
120,Process Control,Ejecuta comando con timeout de 10s,timeout 10s comando,safe
121,Networking,Muestra configuración de red,ifconfig,safe
122,Networking,Muestra interfaces de red alternativo,ip addr show,safe
123,Networking,Prueba conectividad con google.com,ping -c 4 google.com,safe
124,Networking,Haz ping continuo a 8.8.8.8,ping 8.8.8.8,safe
125,Networking,Muestra la tabla de ruteo,route -n,safe
126,Networking,Muestra rutas alternativo,ip route show,safe
127,Networking,Muestra conexiones de red activas,netstat -tuln,safe
128,Networking,Lista puertos en escucha,ss -tuln,safe
129,Networking,Muestra conexiones establecidas,netstat -ant | grep ESTABLISHED,safe
130,Networking,¿Qué proceso usa el puerto 80?,lsof -i :80,safe
131,Networking,Busca qué proceso escucha en puerto 3306,netstat -tlnp | grep 3306,safe
132,Networking,Descarga archivo de URL,wget https://ejemplo.com/archivo.zip,safe
133,Networking,Descarga con curl,curl -O https://ejemplo.com/datos.json,safe
134,Networking,Prueba velocidad de red con iperf,iperf3 -c servidor,safe
135,Networking,Resuelve nombre DNS,nslookup google.com,safe
136,Networking,Consulta DNS con dig,dig google.com,safe
137,Networking,Muestra caché ARP,arp -a,safe
138,Networking,Traza ruta a servidor,traceroute google.com,safe
139,Networking,Traza ruta alternativo,mtr google.com,safe
140,Networking,Escanea puertos abiertos en localhost,nmap localhost,safe
141,Networking,Muestra estadísticas de interfaces,netstat -i,safe
142,Networking,Monitorea tráfico de red,iftop,safe
143,Networking,Captura paquetes de red,tcpdump -i eth0,safe
144,Networking,Conéctate por SSH a servidor,ssh usuario@servidor,safe
145,Networking,Copia archivo por SCP,scp archivo.txt usuario@servidor:/tmp,safe
146,Networking,Transfiere archivos con rsync por SSH,rsync -avz -e ssh local/ usuario@servidor:remote/,safe
147,Networking,Muestra configuración DNS,cat /etc/resolv.conf,safe
148,Networking,Muestra archivo de hosts,cat /etc/hosts,safe
149,Networking,Prueba puerto abierto con telnet,telnet servidor 80,safe
150,Networking,Prueba puerto con netcat,nc -zv servidor 22,safe
151,Networking,Reinicia interfaz de red,ifdown eth0 && ifup eth0,warning
152,Networking,Asigna IP estática temporal,ifconfig eth0 192.168.1.100,warning
153,Networking,Agrega ruta estática,route add -net 10.0.0.0/8 gw 192.168.1.1,warning
154,Networking,Elimina ruta,route del -net 10.0.0.0/8,warning
155,Networking,Reinicia firewall,systemctl restart firewalld,warning
156,Permissions,Muestra permisos de archivo,ls -l archivo.txt,safe
157,Permissions,Muestra permisos en formato octal,stat -c '%a' archivo.txt,safe
158,Permissions,Da permisos de ejecución a script,chmod +x script.sh,safe
159,Permissions,Quita permisos de escritura,chmod -w archivo.txt,safe
160,Permissions,Establece permisos 644 a archivo,chmod 644 archivo.txt,safe
161,Permissions,Establece permisos 755 a directorio,chmod 755 directorio/,safe
162,Permissions,Cambia permisos recursivamente,chmod -R 755 carpeta/,safe
163,Permissions,Cambia dueño de archivo a usuario,chown usuario archivo.txt,safe
164,Permissions,Cambia grupo de archivo,chgrp grupo archivo.txt,safe
165,Permissions,Cambia dueño y grupo,chown usuario:grupo archivo.txt,safe
166,Permissions,Cambia dueño recursivamente,chown -R usuario:grupo directorio/,safe
167,Permissions,Muestra el dueño de un archivo,stat -c '%U' archivo.txt,safe
168,Permissions,Encuentra archivos con permiso SUID,find / -perm -4000 2>/dev/null,safe
169,Permissions,Encuentra archivos con permiso SGID,find / -perm -2000 2>/dev/null,safe
170,Permissions,Encuentra archivos modificables por todos,find / -perm -002 2>/dev/null,safe
171,Permissions,Establece bit sticky en directorio,chmod +t directorio/,safe
172,Permissions,Establece SUID en ejecutable,chmod u+s ejecutable,warning
173,Permissions,Da permisos 777 a archivo,chmod 777 archivo,warning
174,Permissions,Quita todos los permisos,chmod 000 archivo,danger
175,Permissions,Ejecuta comando como root,sudo comando,warning
176,Permissions,Abre shell como root,sudo -i,warning
177,Permissions,Ejecuta comando como otro usuario,sudo -u usuario comando,safe
178,Permissions,Edita archivo de configuración protegido,sudo nano /etc/hosts,warning
179,Permissions,Lista permisos de sudoers,sudo cat /etc/sudoers,safe
180,Permissions,Agrega usuario al grupo sudo,sudo usermod -aG sudo usuario,warning
181,Permissions,Cambia contraseña de usuario,passwd usuario,safe
182,Permissions,Cambia contraseña como root,sudo passwd usuario,warning
183,Permissions,Crea nuevo usuario,sudo useradd -m nuevouser,warning
184,Permissions,Elimina usuario,sudo userdel usuario,warning
185,Permissions,Elimina usuario y su home,sudo userdel -r usuario,danger
186,File Management,Encuentra archivos Java en /home,"find /home -name ""*.java"" 2>/dev/null",safe
187,File Management,Busca archivos modificados hoy,find . -mtime 0,safe
188,File Management,Crea archivo vacío,touch nuevo.txt,safe
189,File Management,Concatena varios archivos,cat file1 file2 > combined.txt,safe
190,File Management,Busca texto en archivos recursivamente,"grep -r ""TODO"" /proyecto",safe
191,System Information,Muestra kernel version,uname -r,safe
192,System Information,Información de temperatura del CPU,sensors,safe
193,System Information,Muestra velocidad de red en tiempo real,iftop -i eth0,safe
194,System Information,Uso de swap,swapon --show,safe
195,System Information,Lista módulos del kernel cargados,lsmod,safe
196,Process Control,Lista servicios fallidos,systemctl --failed,safe
197,Process Control,Muestra logs de un servicio,journalctl -u apache2 -n 50,safe
198,Networking,Muestra firewall rules,sudo iptables -L,safe
199,Networking,Test de ancho de banda,speedtest-cli,safe
200,Permissions,Lista ACLs de archivo,getfacl archivo.txt,safe
201,Web Search,Busca en Google cómo instalar Python en Linux,"web_search(google, Python Linux)",safe
202,Web Search,Busca en YouTube un tutorial de Bash para principiantes,"web_search(youtube, Bash tutorial)",safe
203,Web Search,Busca en GitHub proyectos de reconocimiento de voz,"web_search(github, speech recognition)",safe
204,Web Search,Busca en StackOverflow cómo leer un archivo CSV en Python,"web_search(stackoverflow, CSV Python)",safe
205,Web Search,Busca en Wikipedia qué es un sistema operativo,"web_search(wikipedia, sistema operativo)",safe
206,Web Search,Busca en Google cómo configurar SSH en Debian,"web_search(google, SSH Debian)",safe
207,Web Search,Busca en YouTube tutorial de Docker desde cero,"web_search(youtube, Docker tutorial)",safe
208,Web Search,Busca en GitHub ejemplos de scripts AWK,"web_search(github, awk scripts)",safe
209,Web Search,Busca en StackOverflow cómo solucionar un error de segmentación en C,"web_search(stackoverflow, segfault C)",safe
210,Web Search,Busca en Wikipedia información sobre el protocolo TCP/IP,"web_search(wikipedia, TCP/IP)",safe
211,Web Search,Busca en Google solución a paquetes rotos en apt,"web_search(google, apt broken packages)",safe
212,Web Search,Busca en YouTube tutorial de Git para control de versiones,"web_search(youtube, Git tutorial)",safe
213,Web Search,Busca en GitHub repositorios de inteligencia artificial,"web_search(github, artificial intelligence)",safe
214,Web Search,Busca en StackOverflow cómo hacer solicitudes HTTP en Perl,"web_search(stackoverflow, HTTP Perl)",safe
215,Web Search,Busca en Wikipedia qué es el aprendizaje automático,"web_search(wikipedia, machine learning)",safe
216,Web Search,Busca en Google cómo instalar NGINX en Ubuntu,"web_search(google, NGINX Ubuntu)",safe
217,Web Search,Busca en YouTube tutorial de expresiones regulares en Linux,"web_search(youtube, regex Linux)",safe
218,Web Search,Busca en GitHub proyectos de asistentes de voz de código abierto,"web_search(github, voice assistant)",safe
219,Web Search,Busca en StackOverflow la diferencia entre fork y exec en Linux,"web_search(stackoverflow, fork exec Linux)",safe
220,Web Search,Busca en Google las diferencias entre Docker y máquinas virtuales,"web_search(google, Docker vs VMs)",safe
221,Project Creation,"Crea un proyecto frontend con secciones de login, dashboard e inventario",create_project(frontend),safe
222,Project Creation,Genera la estructura de un proyecto backend con API REST,create_project(backend),safe
223,Project Creation,Crea un proyecto fullstack con frontend y backend separados,create_project(fullstack),safe
224,Project Creation,"Genera carpetas para un proyecto Python con src, tests y docs","mkdir -p proyecto/{src,tests,docs}",safe
225,Project Creation,"Crea un proyecto web con carpetas para estilos, scripts e imágenes",create_project(frontend),safe
226,Project Creation,"Genera estructura de proyecto de ciencia de datos con datos, notebooks y modelos","mkdir -p ds/{data,notebooks,models}",safe
227,Project Creation,Crea un proyecto de microservicios con servicios independientes,create_project(backend),safe
228,Project Creation,"Genera carpetas para proyecto universitario: src, docs, tests y config","mkdir -p proyecto/{src,docs,tests,config}",safe
229,Project Creation,Crea un proyecto fullstack con autenticación y panel de administración,create_project(fullstack),safe
230,Project Creation,Genera la estructura de una aplicación móvil multiplataforma,"mkdir -p app/{src,assets,tests}",safe
231,Project Creation,Crea un proyecto frontend para un sistema de ventas en línea,create_project(frontend),safe
232,Project Creation,Genera estructura de proyecto backend para una API de gestión de usuarios,create_project(backend),safe
233,Project Creation,Crea la estructura de un proyecto de machine learning con notebooks,"mkdir -p ml/{data,models,notebooks,scripts}",safe
234,Project Creation,Genera carpetas para una tienda en línea con catálogo y pagos,create_project(frontend),safe
235,Project Creation,"Crea la estructura de un servidor web con logs, config y htdocs","mkdir -p server/{logs,config,htdocs}",safe
236,Project Creation,"Genera proyecto modular con módulos para base de datos, API y UI","mkdir -p app/{db,api,ui}",safe
237,Project Creation,Crea un proyecto backend con soporte para consultas GraphQL,create_project(backend),safe
238,Project Creation,"Genera estructura de automatización con scripts, tests y registros","mkdir -p auto/{scripts,tests,logs}",safe
239,Project Creation,Crea la estructura de un proyecto fullstack con React y Express,create_project(fullstack),safe
240,Project Creation,"Genera proyecto de documentación técnica con secciones de API, guías y ejemplos","mkdir -p docs/{api,guides,examples}",safe
241,App Opening,Abre Visual Studio Code,open_app(code),safe
242,App Opening,Inicia el navegador Firefox,open_app(firefox),safe
243,App Opening,Abre la terminal,open_app(terminal),safe
244,App Opening,Lanza LibreOffice Writer,open_app(libreoffice_writer),safe
245,App Opening,Abre la hoja de cálculo (LibreOffice Calc),open_app(libreoffice_calc),safe
246,App Opening,Abre el explorador de archivos,open_app(nautilus),safe
247,App Opening,Inicia el editor de texto gedit,open_app(gedit),safe
248,App Opening,Abre el reproductor VLC,open_app(vlc),safe
249,App Opening,Lanza GIMP,open_app(gimp),safe
250,App Opening,Abre el navegador Chromium,open_app(chromium),safe
